run_id,compute_proc_type,primary_memory_size,index_type,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
0,Apple M1,8,BST,10000,0,19956,9000
0,Apple M1,8,BST,10000,0,19956,6000
0,Apple M1,8,BST,10000,0,19956,2000
0,Apple M1,8,BST,10000,0,19956,2000
0,Apple M1,8,BST,10000,0,19956,2000
0,Apple M1,8,BST,10000,0,19956,1000
0,Apple M1,8,BST,10000,0,19956,1000
0,Apple M1,8,BST,10000,0,19956,2000
0,Apple M1,8,BST,10000,0,19956,2000
0,Apple M1,8,BST,10000,0,19956,2000
1,Apple M1,8,BST,10000,0,19956,1000
1,Apple M1,8,BST,10000,0,19956,1000
1,Apple M1,8,BST,10000,0,19956,2000
1,Apple M1,8,BST,10000,0,19956,0
1,Apple M1,8,BST,10000,0,19956,2000
1,Apple M1,8,BST,10000,0,19956,2000
1,Apple M1,8,BST,10000,0,19956,2000
1,Apple M1,8,BST,10000,0,19956,1000
1,Apple M1,8,BST,10000,0,19956,1000
1,Apple M1,8,BST,10000,0,19956,0
2,Apple M1,8,BST,10000,0,19956,1000
2,Apple M1,8,BST,10000,0,19956,1000
2,Apple M1,8,BST,10000,0,19956,0
2,Apple M1,8,BST,10000,0,19956,1000
2,Apple M1,8,BST,10000,0,19956,2000
2,Apple M1,8,BST,10000,0,19956,2000
2,Apple M1,8,BST,10000,0,19956,1000
2,Apple M1,8,BST,10000,0,19956,1000
2,Apple M1,8,BST,10000,0,19956,0
2,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,2000
3,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,1000
3,Apple M1,8,BST,10000,0,19956,2000
4,Apple M1,8,BST,10000,0,19956,2000
4,Apple M1,8,BST,10000,0,19956,0
4,Apple M1,8,BST,10000,0,19956,1000
4,Apple M1,8,BST,10000,0,19956,0
4,Apple M1,8,BST,10000,0,19956,1000
4,Apple M1,8,BST,10000,0,19956,1000
4,Apple M1,8,BST,10000,0,19956,1000
4,Apple M1,8,BST,10000,0,19956,0
4,Apple M1,8,BST,10000,0,19956,0
4,Apple M1,8,BST,10000,0,19956,2000
5,Apple M1,8,BST,10000,0,19956,1000
5,Apple M1,8,BST,10000,0,19956,2000
5,Apple M1,8,BST,10000,0,19956,1000
5,Apple M1,8,BST,10000,0,19956,2000
5,Apple M1,8,BST,10000,0,19956,0
5,Apple M1,8,BST,10000,0,19956,0
5,Apple M1,8,BST,10000,0,19956,1000
5,Apple M1,8,BST,10000,0,19956,1000
5,Apple M1,8,BST,10000,0,19956,1000
5,Apple M1,8,BST,10000,0,19956,1000
6,Apple M1,8,BST,10000,0,19956,2000
6,Apple M1,8,BST,10000,0,19956,1000
6,Apple M1,8,BST,10000,0,19956,0
6,Apple M1,8,BST,10000,0,19956,2000
6,Apple M1,8,BST,10000,0,19956,2000
6,Apple M1,8,BST,10000,0,19956,2000
6,Apple M1,8,BST,10000,0,19956,2000
6,Apple M1,8,BST,10000,0,19956,0
6,Apple M1,8,BST,10000,0,19956,1000
6,Apple M1,8,BST,10000,0,19956,2000
7,Apple M1,8,BST,10000,0,19956,0
7,Apple M1,8,BST,10000,0,19956,0
7,Apple M1,8,BST,10000,0,19956,1000
7,Apple M1,8,BST,10000,0,19956,0
7,Apple M1,8,BST,10000,0,19956,0
7,Apple M1,8,BST,10000,0,19956,1000
7,Apple M1,8,BST,10000,0,19956,0
7,Apple M1,8,BST,10000,0,19956,1000
7,Apple M1,8,BST,10000,0,19956,1000
7,Apple M1,8,BST,10000,0,19956,1000
8,Apple M1,8,BST,10000,0,19956,1000
8,Apple M1,8,BST,10000,0,19956,2000
8,Apple M1,8,BST,10000,0,19956,0
8,Apple M1,8,BST,10000,0,19956,0
8,Apple M1,8,BST,10000,0,19956,1000
8,Apple M1,8,BST,10000,0,19956,1000
8,Apple M1,8,BST,10000,0,19956,2000
8,Apple M1,8,BST,10000,0,19956,0
8,Apple M1,8,BST,10000,0,19956,1000
8,Apple M1,8,BST,10000,0,19956,0
9,Apple M1,8,BST,10000,0,19956,1000
9,Apple M1,8,BST,10000,0,19956,0
9,Apple M1,8,BST,10000,0,19956,1000
9,Apple M1,8,BST,10000,0,19956,1000
9,Apple M1,8,BST,10000,0,19956,0
9,Apple M1,8,BST,10000,0,19956,0
9,Apple M1,8,BST,10000,0,19956,2000
9,Apple M1,8,BST,10000,0,19956,0
9,Apple M1,8,BST,10000,0,19956,1000
9,Apple M1,8,BST,10000,0,19956,2000
